#{"t_start": 1770295461.3780954, "env_id": "None"}
r,l,t
10.288,67,39.49964
20.501,95,39.588628
1.396,10,39.599598
13.674,78,39.670789
28.253,119,39.779265
48.294,210,39.975296
85.491,381,40.325811
36.743,167,40.479609
27.114,82,40.559758
22.742,119,40.670605
27.15,80,40.746977
12.859,61,40.803804
7.491,48,40.852654
36.549,89,40.938634
14.439,54,40.988616
24.278,116,41.103967
86.548,376,42.676264
15.078,87,42.755196
27.405,105,42.850505
16.757,71,42.915152
8.08,40,42.950859
13.795,67,43.012005
4.039,43,43.049763
74.141,272,43.288442
10.376,59,43.344159
23.558,42,43.383916
19.89,105,43.479117
14.852,62,43.538225
44.407,199,43.713784
45.665,126,43.827629
14.175,78,43.89896
23.0,47,43.945654
11.879,59,43.996543
18.998,95,44.081434
12.457,52,44.127078
30.714,123,44.236446
6.5,47,44.281995
23.353,109,45.936429
3.169,31,45.964902
46.122,131,46.084956
13.415,56,46.140061
22.208,122,46.248646
37.904,102,46.341333
26.623,85,46.414906
16.79,68,46.477575
30.246,120,46.583835
13.905,57,46.633741
31.509,46,46.681122
16.944,54,46.72852
34.312,112,46.830098
2.778,21,46.852912
2.492,47,46.896073
13.25,71,46.961051
41.463,145,47.654023
10.607,38,47.692062
23.656,127,47.804593
97.823,349,48.112269
32.59,86,48.193059
43.68,174,49.469117
1.732,25,49.493162
9.908,56,49.546731
15.81,66,49.615918
22.422,57,49.673697
23.375,107,49.77471
13.894,58,49.827617
34.544,89,49.912225
20.336,110,50.01089
24.903,57,50.068314
30.69,77,50.142589
62.119,274,50.390819
13.773,69,50.452453
36.319,160,50.601449
23.425,52,50.648813
38.62,133,50.766117
8.961,51,50.812256
11.053,43,50.849852
34.992,144,50.977988
48.905,200,51.149455
21.701,77,51.219822
16.377,60,51.271452
35.763,165,52.99322
55.738,167,53.141002
14.307,66,53.2041
3.015,45,53.246918
111.489,428,53.628826
0.361,13,53.642201
46.758,213,53.831042
7.601,38,53.865481
78.445,242,54.11023
61.863,203,54.294106
14.285,68,54.354438
19.928,56,54.407954
3.549,42,54.446665
67.79,209,54.631629
2.712,27,54.657114
70.492,190,56.346563
6.445,52,56.396314
72.112,322,56.68689
33.186,126,56.801265
31.98,99,56.890784
10.998,48,56.933493
45.226,119,57.041661
51.135,225,57.238844
41.115,131,57.35665
27.851,110,57.454135
61.949,147,57.584958
36.363,156,57.723876
25.346,110,57.823069
1.831,16,57.840378
26.073,135,57.96457
39.033,141,58.089473
29.653,80,59.693397
27.036,93,59.776102
16.223,74,59.838944
86.624,320,60.119016
33.434,149,60.251242
